author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Reuters Staff,UPDATE 1-Japan's biggest bank MUFG doubles quarterly profit as credit costs drop - Reuters,"Mitsubishi UFJ Financial Group Inc (MUFG), Japan's largest lender by assets, on Monday reported that first-quarter net profit doubled year on year as credit-related costs dropped sharply.",https://www.reuters.com/article/us-mufg-results-idUSKBN2F30OU,https://static.reuters.com/resources/r/?m=02&d=20210802&t=2&i=1570683582&r=LYNXMPEH710BN&w=800,2021-08-02 07:36:00+00:00,"By Reuters Staff
FILE PHOTO: People queue inside a branch of the Mitsubishi UFJ (MUFJ) Financial Group's bank of Tokyo-Mitsubishi UFJ in Tokyo, Japan, February 1, 2016. REUTERS/Yuya Shino/File Photo… [+1572 chars]",reuters,Reuters
Reuters,Japan's biggest bank MUFG doubles quarterly profit as credit costs drop - Reuters,"Mitsubishi UFJ Financial Group Inc (MUFG) <a href=""https://www.reuters.com/companies/8306.T"" target=""_blank"">(8306.T)</a>, Japan's largest lender by assets, on Monday reported that first-quarter net profit doubled year on year as credit-related costs dropped …",https://www.reuters.com/business/finance/japans-biggest-bank-mufg-doubles-quarterly-profit-credit-costs-drop-2021-08-02/,https://www.reuters.com/resizer/hx3SWH6FtUoGzvrteaNnUkGwcFo=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ZWE2BGDBZNIRFCWC4Z6W7RUQIM.jpg,2021-08-02 07:50:00+00:00,"People queue inside a branch of the Mitsubishi UFJ (MUFJ) Financial Group's bank of Tokyo-Mitsubishi UFJ in Tokyo, Japan, February 1, 2016. REUTERS/Yuya Shino/File PhotoTOKYO, Aug 2 (Reuters) - Mitsu… [+1711 chars]",reuters,Reuters
Soumyajit Saha,"EMERGING MARKETS-Baht at over 1-year low as cenbank holds rates, Malaysian stocks drop - Reuters",* Thailand reports record daily cases and deaths * Malaysia's prime minister fights back calls to resign * Singapore shares benefit from banking gains By Soumyajit Saha Aug 4 (Reuters) - Thailand's baht hit its lowest level in over sixteen months on Wednesday…,https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PB1R4,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-04 07:59:00+00:00,"* Thailand reports record daily cases and deaths
 * Malaysia's prime minister fights back calls to resign
 * Singapore shares benefit from banking gains
By Soumyajit Saha
 Aug 4 (Reuters) - Thail… [+2809 chars]",reuters,Reuters
Tommy Wilkes,Dollar cements rebound after jobs data triggers tapering bets - Reuters,"The dollar hit a four-month high against the euro on Monday, reversing a recent fall after strong labour market data encouraged investors to bring forward their bets on the Federal Reserve reducing its pandemic-era stimulus.",https://www.reuters.com/world/middle-east/dollar-cements-rebound-after-jobs-data-triggers-tapering-bets-2021-08-09/,https://www.reuters.com/resizer/NJsfRqBvtt-kpbb5YkqOuZKiTG4=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/YQE3HZX7KBIL5IUIRMHKN76TKE.jpg,2021-08-09 07:25:00+00:00,"A U.S. dollar banknote is seen in this illustration taken May 26, 2020. REUTERS/Dado Ruvic/Illustration/File PhotoLONDON, Aug 9 (Reuters) - The dollar hit a four-month high against the euro on Monday… [+2264 chars]",reuters,Reuters
Harish Sridharan,EMERGING MARKETS-Asian currencies weaken amid Fed taper talk - Reuters,* Markets in Malaysia closed due to public holiday * Thailand posts daily record for coronavirus deaths * Indonesia stocks hit Nearly three-week low By Harish Sridharan Aug 10 (Reuters) - Asia's emerging currencies traded flat-to-weaker on Tuesday against a s…,https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PH0PV,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-10 04:26:00+00:00,"* Markets in Malaysia closed due to public holiday
 * Thailand posts daily record for coronavirus deaths
 * Indonesia stocks hit Nearly three-week low
By Harish Sridharan
 Aug 10 (Reuters) - Asia… [+2971 chars]",reuters,Reuters
Trevor Hunnicutt,U.S. calls on OPEC and its allies to pump more oil - Reuters,U.S. President Joe Biden's top aides are pressuring OPEC and its allies to boost oil output to tackle rising gasoline prices that they see as a threat to global economic recovery.,https://www.reuters.com/article/us-usa-oil-opec-idUSKBN2FC14X,https://static.reuters.com/resources/r/?m=02&d=20210811&t=2&i=1571620092&r=LYNXMPEH7A0L2&w=800,2021-08-11 11:02:00+00:00,"(Reuters) -U.S. President Joe Bidens top aides are pressuring OPEC and its allies to boost oil output to tackle rising gasoline prices that they see as a threat to global economic recovery.
FILE PHO… [+4316 chars]",reuters,Reuters
Chuck Mikolajczak,"Slowing inflation growth lifts Dow, S&P to records - Reuters","The Dow Jones Industrial Average and S&P 500 closed at record levels on Wednesday, as data indicated U.S. inflation growth may have peaked, while sectors tied to economic growth advanced on the heels of the passage of a large infrastructure bill.",https://www.reuters.com/business/slowing-inflation-growth-lifts-dow-sp-records-2021-08-11/,https://www.reuters.com/resizer/Mk6EkLVE4MgFkmtvJLkDCF2IL3U=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GUEZGY3L4BLMDJYJ7DBITPYSRU.jpg,2021-08-11 20:03:00+00:00,"NEW YORK, Aug 11 (Reuters) - The Dow Jones Industrial Average and S&amp;P 500 closed at record levels on Wednesday, as data indicated U.S. inflation growth may have peaked, while sectors tied to econ… [+3379 chars]",reuters,Reuters
Sameer Manekar,EMERGING MARKETS-Most Asian emerging shares rise as taper fears ease - Reuters,"* Indian shares, rupee gain ahead of inflation data * Philippine c.bank seen holding key rate - Reuters poll * Thai baht bearish bets highest in six years - Reuters poll By Sameer Manekar Aug 12 (Reuters) - Most emerging markets in Asia rose on Thursday, with…",https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PJ1MX,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-12 07:44:00+00:00,"* Indian shares, rupee gain ahead of inflation data
 * Philippine c.bank seen holding key rate - Reuters poll
 * Thai baht bearish bets highest in six years - Reuters poll
By Sameer Manekar
 Aug … [+3574 chars]",reuters,Reuters
"Clara-laeila Laudette,Belén Carreño",Four beats five as pandemic prompts shorter working week trials - Reuters,"From travel to technology, employers across the globe are offering four day weeks as incentives to woo workers after the coronavirus pandemic upended their working patterns.",https://www.reuters.com/world/the-great-reboot/four-beats-five-pandemic-prompts-shorter-working-week-trials-2021-08-12/,https://www.reuters.com/resizer/t8ARyOYH_gOik-jspss7xrB-12A=/800x419/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/ESA664M25RMKJFGFZ4LIL53XCI.jpg,2021-08-12 11:15:00+00:00,"MADRID, Aug 12 (Reuters) - From travel to technology, employers across the globe are offering four day weeks as incentives to woo workers after the coronavirus pandemic upended their working patterns… [+5342 chars]",reuters,Reuters
Michael Erman,"Pfizer, Moderna seen reaping billions from COVID-19 vaccine booster market - Reuters","Drugmakers Pfizer Inc, BioNTech and Moderna Inc are expected to reap billions of dollars from COVID-19 booster shots in a market that could rival the $6 billion in annual sales for flu vaccines for years to come, analysts and healthcare investors say.",https://www.reuters.com/business/healthcare-pharmaceuticals/pfizer-moderna-seen-reaping-billions-covid-19-vaccine-booster-market-2021-08-13/,https://www.reuters.com/resizer/KSFvqQWNdGgQPJ41a-9_QdtSMsE=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/B53FM5HLWROSFFIV5MFBCJ56XU.jpg,2021-08-13 10:10:00+00:00,"NEW YORK, Aug 13 (Reuters) - Drugmakers Pfizer Inc, BioNTech and Moderna Inc are expected to reap billions of dollars from COVID-19 booster shots in a market that could rival the $6 billion in annual… [+5793 chars]",reuters,Reuters
Michael Erman,"UPDATE 1-FOCUS-Pfizer, Moderna seen reaping billions from COVID-19 vaccine booster market","Drugmakers Pfizer Inc, BioNTech and Moderna Inc are expected to reap billions of dollars from COVID-19 booster shots in a market that could rival the $6 billion in annual sales for flu vaccines for years to come, analysts and healthcare investors say.",https://www.reuters.com/article/us-health-coronavirus-boosters-focus-idUSKBN2FE0ZR,https://static.reuters.com/resources/r/?m=02&d=20210813&t=2&i=1571822598&r=LYNXMPEH7C0IE&w=800,2021-08-13 10:54:44+00:00,"NEW YORK (Reuters) -Drugmakers Pfizer Inc, BioNTech and Moderna Inc are expected to reap billions of dollars from COVID-19 booster shots in a market that could rival the $6 billion in annual sales fo… [+6081 chars]",reuters,Reuters
Michael Erman,"Pfizer, Moderna seen reaping billions from COVID-19 vaccine booster market - Reuters","NEW YORK (Reuters) - Drugmakers Pfizer Inc, BioNTech and Moderna Inc are expected to reap billions of dollars from COVID-19 booster shots in a market that could rival the $6 billion in annual sales for flu vaccines for years to come, analysts and healthcare i…",https://www.reuters.com/legal/government/pfizer-moderna-seen-reaping-billions-covid-19-vaccine-booster-market-2021-08-13/,https://www.reuters.com/resizer/uZkkZpwxrbc42WMOI1NzT1AbMIU=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/FGV6MLHDJNLC3DNW5D74PE5XQI.jpg,2021-08-13 22:20:00+00:00,"Vials labelled ""Moderna, Johnson &amp; Johnson, Pfizer-BioNTech coronavirus disease (COVID-19) vaccine"" are seen in this illustration picture taken May 2, 2021. REUTERS/Dado RuvicThe company and law … [+6084 chars]",reuters,Reuters
Reuters Staff,Euro zone bond yields edge down as global sentiment turns south - Reuters,"Borrowing costs in Germany, the euro zone's benchmark bond issuer, dipped on Monday to their lowest level in over a week as latest data from the world's biggest economies cast a shadow over the growth outlook.",https://www.reuters.com/article/eurozone-bonds-idUSL8N2PN1AQ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16 07:42:00+00:00,"By Reuters Staff
LONDON, Aug 16 (Reuters) - Borrowing costs in Germany, the euro zones benchmark bond issuer, dipped on Monday to their lowest level in over a week as latest data from the worlds big… [+1627 chars]",reuters,Reuters
Dhara Ranasinghe,UPDATE 1-Euro zone bonds find support as global sentiment sours - Reuters,"Borrowing costs in Germany, the euro zone's benchmark bond issuer, briefly dipped on Monday to their lowest level in just over a week as latest data from the world's biggest economies cast a shadow over the growth outlook.",https://www.reuters.com/article/eurozone-bonds-idUSL1N2PN0JJ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-16 09:42:00+00:00,"(Updates prices, adds detail, fresh quote)
LONDON, Aug 16 (Reuters) - Borrowing costs in Germany, the euro zones benchmark bond issuer, briefly dipped on Monday to their lowest level in just over a … [+2549 chars]",reuters,Reuters
Reuters Staff,"China's yuan inches higher, shrugging off dollar strength - Reuters","China's yuan inched higher against the dollar on Wednesday, unfazed by a firmer greenback and rising risk aversion in global markets, as investors continued to wait on policy signals from central banks before making bets on the local currency. Traders said ma…",https://www.reuters.com/article/china-yuan-midday-idUSL1N2PP097,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-18 05:04:00+00:00,"By Reuters Staff
SHANGHAI, Aug 18 (Reuters) - China's yuan inched higher
against the dollar on Wednesday, unfazed by a firmer greenback
and rising risk aversion in global markets, as investors
co… [+2946 chars]",reuters,Reuters
Paulina Duran,"New Zealand dollar up slightly, recovers losses made after RBNZ - Reuters","The New Zealand dollar recouped early losses made after the central bank delayed raising interest rates as the country entered a snap COVID-19 lockdown, while the Australian dollar also edged higher.",https://www.reuters.com/article/australia-forex-idUSL1N2PP0B6,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-18 06:15:00+00:00,"SYDNEY, Aug 18 (Reuters) - The New Zealand dollar recouped early losses made after the central bank delayed raising interest rates as the country entered a snap COVID-19 lockdown, while the Australia… [+1578 chars]",reuters,Reuters
Reuters Staff,"China's yuan eases, but basket index rises to 5-1/2-year high - Reuters","The Chinese yuan eased to a three-week low against a firmer dollar on Thursday, while its value against the currencies of major trading partners touched a fresh 5-1/2-year high.",https://www.reuters.com/article/china-yuan-idUSL1N2PQ03B,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-19 03:04:00+00:00,"By Reuters Staff
(Adds details, comments and background)
SHANGHAI, Aug 19 (Reuters) - The Chinese yuan eased to a three-week low against a firmer dollar on Thursday, while its value against the cur… [+1701 chars]",reuters,Reuters
Reuters,Japan's Mizuho says bank's branches having system trouble - Reuters,"The main banking unit of Mizuho Financial Group <a href=""https://www.reuters.com/companies/8411.T"" target=""_blank"">(8411.T)</a> said on Friday its branches throughout Japan were unable to process transactions, the latest in what has been a long, high-profile …",https://www.reuters.com/world/asia-pacific/japans-mizuho-says-banks-branches-having-system-trouble-2021-08-20/,https://www.reuters.com/resizer/zVpBc2dNl3UmMTbxGR4d7vSKTIg=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/AGJBZVGDQNODXHP42OIFW6PCSA.jpg,2021-08-20 00:54:00+00:00,"Mizuho Bank's signboard is pictured in Tokyo, Japan, Jan. 25, 2017. REUTERS/Kim Kyung-HoonTOKYO, Aug 20 (Reuters) - The main banking unit of Mizuho Financial Group (8411.T) said on Friday its branche… [+1010 chars]",reuters,Reuters
Arundhati Dutta,"EMERGING MARKETS-Most Asian currencies weaken on firm dollar, rupiah leads fall - Reuters","* S.Korean stocks hit lowest since March-end * Philippine stocks up for 5th day * Singapore rises nearly 1%, to ease border curbs By Arundhati Dutta Aug 20 (Reuters) - Most emerging Asian currencies weakened on Friday, with Indonesia's rupiah falling the most…",https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PR0U6,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-20 04:40:00+00:00,"* S.Korean stocks hit lowest since March-end
 * Philippine stocks up for 5th day
 * Singapore rises nearly 1%, to ease border curbs
By Arundhati Dutta
 Aug 20 (Reuters) - Most emerging Asian curr… [+3292 chars]",reuters,Reuters
Arundhati Dutta,"EMERGING MARKETS-Most Asian currencies weaken on firm dollar; rupiah, won lead fall - Reuters","* S.Korea stocks post worst weekly drop in 7 months * Malaysia subdued, await new PM appointment * Philippine stocks snap 4-day winning streak By Arundhati Dutta Aug 20 (Reuters) - Most emerging Asian currencies weakened on Friday, with the Indonesian rupiah …",https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PR1SK,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-20 07:45:00+00:00,"* S.Korea stocks post worst weekly drop in 7 months
 * Malaysia subdued, await new PM appointment
 * Philippine stocks snap 4-day winning streak
By Arundhati Dutta
 Aug 20 (Reuters) - Most emergi… [+2780 chars]",reuters,Reuters
Arundhati Dutta,"EMERGING MARKETS-S. Korea's won leads Asia FX gains, Taiwan stocks jump 2% - Reuters",* Thai stocks hit highest in a month * Philippine c.bank says no drastic change in monetary policy * Bank of Korea rate decision this week eyed By Arundhati Dutta Aug 23 (Reuters) - The South Korean won led gains among emerging Asian currencies on Monday ahea…,https://www.reuters.com/article/emerging-markets-asia-idUSL1N2PU09N,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-23 05:22:00+00:00,"* Thai stocks hit highest in a month
 * Philippine c.bank says no drastic change in monetary
policy
 * Bank of Korea rate decision this week eyed
By Arundhati Dutta
 Aug 23 (Reuters) - The South… [+3105 chars]",reuters,Reuters
Reuters,Qatar's Commercial Bank raises $875 mln loan - Reuters,"Qatar's Commercial Bank <a href=""https://www.reuters.com/companies/COMB.QA"" target=""_blank"">(COMB.QA)</a> has borrowed $875 million to refinance existing debt and support general funding requirements, it said in a stock exchange filing on Monday.",https://www.reuters.com/world/middle-east/qatars-commercial-bank-raises-875-mln-loan-2021-08-23/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-23 06:06:00+00:00,"DUBAI, Aug 23 (Reuters) - Qatar's Commercial Bank (COMB.QA) has borrowed $875 million to refinance existing debt and support general funding requirements, it said in a stock exchange filing on Monday… [+350 chars]",reuters,Reuters
Reuters,Japan's Mizuho reports ATM glitch in latest tech trouble - Reuters,"Mizuho Financial Group's <a href=""https://www.reuters.com/companies/8411.T"" target=""_blank"">(8411.T)</a> main banking unit said its automated teller machines (ATMs) in some parts of Japan were hit by a system glitch on Monday.",https://www.reuters.com/world/asia-pacific/japans-mizuho-reports-atm-glitch-latest-tech-trouble-2021-08-23/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-23 07:02:00+00:00,"TOKYO, Aug 23 (Reuters) - Mizuho Financial Group's (8411.T) main banking unit said its automated teller machines (ATMs) in some parts of Japan were hit by a system glitch on Monday.
The problem foll… [+370 chars]",reuters,Reuters
Aniruddha Ghosh,Wall Street analysts bet on Robinhood's potential to add users - Reuters,"Wall Street analysts on Monday took a largely upbeat view on Robinhood Markets Inc in their first ratings on the stock as they bet on the online brokerage's ability to boost its user base, days after it warned of easing retail trading frenzy.",https://www.reuters.com/article/robinhood-research-idUSL4N2PU2SQ,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-23 17:32:00+00:00,Aug 23 (Reuters) - Wall Street analysts on Monday took a largely upbeat view on Robinhood Markets Inc in their first ratings on the stock as they bet on the online brokerages ability to boost its use… [+1849 chars],reuters,Reuters
Aniruddha Ghosh,Wall Street analysts bet on Robinhood's potential to add users - Reuters,"Wall Street analysts on Monday took a largely upbeat view on Robinhood Markets Inc <a href=""https://www.reuters.com/companies/HOOD.O"" target=""_blank"">(HOOD.O)</a> in their first ratings on the stock as they bet on the online brokerage's ability to boost its u…",https://www.reuters.com/business/finance/wall-street-analysts-bet-robinhoods-potential-add-users-2021-08-23/,https://www.reuters.com/resizer/CqkTyN0cHsDk3AhMYwpYFa_1mXA=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/PSMEKN4PAJNW3LTPBEPEWBM4B4.jpg,2021-08-23 17:47:00+00:00,"The logo of Robinhood Markets, Inc. is seen at a pop-up event on Wall Street after the company's IPO in New York City, U.S., July 29, 2021. REUTERS/Andrew Kelly/File PhotoAug 23 (Reuters) - Wall Stre… [+2119 chars]",reuters,Reuters
Sagarika Jaisinghani,EMERGING MARKETS-Russian rouble leads currencies higher as oil rebounds - Reuters,"The Russian rouble led gains among emerging market currencies on Tuesday as oil rebounded from its worst week this year, while a jump in Hong Kong-listed technology stocks lifted the regional equities index.",https://www.reuters.com/article/emerging-markets-idUSL1N2PV0F8,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-24 08:17:00+00:00,"* Rouble rises after hitting its lowest since July 20
* EM equities track best day in nearly a month
* Hong Kong tech stocks lead rebound in equities
* Hungarian forint firms ahead of central bank… [+2625 chars]",reuters,Reuters
Reuters Staff,Japanese shares track Wall St higher; Toyota bounces back - Reuters,"Japanese shares rose for a third straight session on Wednesday, underpinned by strength on Wall Street overnight, with buying back beaten down Toyota Motor and other related stocks.",https://www.reuters.com/article/japan-stocks-midday-idUSL4N2PW0Q0,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-25 02:53:00+00:00,"By Reuters Staff
TOKYO, Aug 25 (Reuters) - Japanese shares rose for a third straight session on Wednesday, underpinned by strength on Wall Street overnight, with buying back beaten down Toyota Motor… [+1363 chars]",reuters,Reuters
Erwin Seba,Phillips 66 refinery sale offers test of future for motor fuel suppliers - Reuters,"U.S. refiner Phillips 66's <a href=""https://www.reuters.com/companies/PSX.N"" target=""_blank"">(PSX.N)</a> decision to market a Louisiana oil processing plant offers a key test of investors' views on the pace of the transition to electric vehicles, refinery ind…",https://www.reuters.com/business/energy/phillips-66-refinery-sale-offers-test-future-motor-fuel-suppliers-2021-08-25/,https://www.reuters.com/resizer/4MIYToF1V08eGAmr85kkwz7SCgQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/OW2MXWA4PNMT3BPO4SXX746P4Q.jpg,2021-08-25 19:03:00+00:00,"The Phillips 66 gas station in Superior, Colorado, U.S., July 27, 2017. REUTERS/Rick Wilking/File PhotoHOUSTON, Aug 25 (Reuters) - U.S. refiner Phillips 66's (PSX.N) decision to market a Louisiana oi… [+2137 chars]",reuters,Reuters
Arundhati Dutta,EMERGING MARKETS-S.Korean stocks fall after c.bank rate hike; most others retreat - Reuters,* S.Korea lifts interest rates from record low * Malaysian ringgit at its strongest in a month * Thai stocks up for fifth straight day By Arundhati Dutta Aug 26 (Reuters) - South Korean stocks and the won fell on Thursday after the country's central bank rais…,https://www.reuters.com/article/emerging-markets-asia-idUSL4N2PX153,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26 04:53:00+00:00,"* S.Korea lifts interest rates from record low 
 * Malaysian ringgit at its strongest in a month
 * Thai stocks up for fifth straight day
By Arundhati Dutta
 Aug 26 (Reuters) - South Korean stock… [+3228 chars]",reuters,Reuters
Sujata Rao,FOREX-Dollar rises off one-week low as 2021 taper bets grow - Reuters,FOREX-Dollar rises off one-week low as 2021 taper bets grow  Reuters,https://www.reuters.com/article/global-forex-idUSL8N2PX29L,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26 09:33:00+00:00,"* Dollar rises off one-week lows ahead of Jackson Hole summit
* Korean won falls after rate hike
* Implied euro-dollar volatility at a one-week low
* Graphic: World FX rates tmsnrt.rs/2RBWI5E
LON… [+2576 chars]",reuters,Reuters
Sujata Rao,Dollar rises off one-week low as 2021 taper bets grow - Reuters,"The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding above 1.34% in a quiet market where focus was firmly trained on what signals the Federal Reserve might send at its annual Jackson Hole conference.",https://www.reuters.com/world/middle-east/dollar-rises-off-one-week-low-2021-taper-bets-grow-2021-08-26/,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=50,2021-08-26 09:36:00+00:00,"LONDON, Aug 26 (Reuters) - The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding above 1.34% in a quiet market where focus was firmly trained on what signals the F… [+2572 chars]",reuters,Reuters
Sujata Rao,Dollar soft as traders look to Jackson Hole for taper clues - Reuters,"The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding near 1.35% in a quiet market where focus was firmly trained on what signals the Federal Reserve might send at its annual Jackson Hole conference.",https://www.reuters.com/article/us-global-forex-idUSKBN2FR02V,https://static.reuters.com/resources/r/?m=02&d=20210826&t=2&i=1572948641&r=LYNXMPEH7P00Z&w=800,2021-08-26 11:14:00+00:00,"LONDON (Reuters) - The dollar rose from one-week lows on Thursday, supported by U.S. Treasury yields holding near 1.35% in a quiet market where focus was firmly trained on what signals the Federal Re… [+2487 chars]",reuters,Reuters
Herbert Lash,FOREX-Dollar jumps after Fed official's taper talk stirs markets - Reuters,"* Dollar rises off one-week lows ahead of Jackson Hole summit * Korean won falls after rate hike * Implied euro-dollar volatility at one-week low * Graphic: World FX rates https://tmsnrt.rs/2RBWI5E (Adds Bullard comments, fresh prices) By Herbert Lash NEW YOR…",https://www.reuters.com/article/global-forex-idUSL1N2PX159,https://s1.reutersmedia.net/resources_v2/images/rcom-default.png?w=800,2021-08-26 14:44:00+00:00,"* Dollar rises off one-week lows ahead of Jackson Hole
summit
 * Korean won falls after rate hike 
 * Implied euro-dollar volatility at one-week low 
 * Graphic: World FX rates tmsnrt.rs/2RBWI5E… [+4181 chars]",reuters,Reuters
